Number,Name,Type 1,Abilities,HP,Att,Def,Spa,Spd,Spe,BST,Mean,Standard Deviation,Generation,Experience type,Experience to level 100,Final Evolution,Catch Rate,Legendary,Height,Weight,BMI
1,Bulbasaur,Grass,"['Chlorophyll', 'Overgrow']",45,49,49,65,65,45,318,53.0,8.640987597877150,1.0,Medium Slow,1059860,0.0,45,0.0,0.7,6.9,14.1
2,Ivysaur,Grass,"['Chlorophyll', 'Overgrow']",60,62,63,80,80,60,405,67.5,8.902246907382430,1.0,Medium Slow,1059860,0.0,45,0.0,1.0,13.0,13.0
3,Venusaur,Grass,"['Chlorophyll', 'Overgrow']",80,82,83,100,100,80,525,87.5,8.902246907382430,1.0,Medium Slow,1059860,1.0,45,0.0,2.0,100.0,25.0
3,Mega Venusaur,Grass,['Thick Fat'],80,100,123,122,120,80,625,104.16666666666700,18.747592438023100,6.0,Medium Slow,1059860,1.0,45,0.0,2.4,155.5,27.0
4,Charmander,Fire,"['Blaze', 'Solar Power']",39,52,43,60,50,65,309,51.5,8.995369179009090,1.0,Medium Slow,1059860,0.0,45,0.0,0.6,8.5,23.6
5,Charmeleon,Fire,"['Blaze', 'Solar Power']",58,64,58,80,65,80,405,67.5,9.233092656309690,1.0,Medium Slow,1059860,0.0,45,0.0,1.1,19.0,15.7
6,Charizard,Fire,"['Blaze', 'Solar Power']",78,84,78,109,85,100,534,89.0,11.575836902790200,1.0,Medium Slow,1059860,1.0,45,0.0,1.7,90.5,31.3
6,Mega Charizard Y,Fire,['Drought'],78,104,78,159,115,100,634,105.66666666666700,27.378012264508100,6.0,Medium Slow,1059860,1.0,45,0.0,1.7,100.5,34.8
6,Mega Charizard X,Fire,['Tough Claws'],78,130,111,130,85,100,634,105.66666666666700,20.154955277108000,6.0,Medium Slow,1059860,1.0,45,0.0,1.7,110.5,38.2
7,Squirtle,Water,"['Rain Dish', 'Torrent']",44,48,65,50,64,43,314,52.333333333333300,8.919392106839770,1.0,Medium Slow,1059860,0.0,45,0.0,0.5,9.0,36.0
8,Wartortle,Water,"['Rain Dish', 'Torrent']",59,63,80,65,80,58,405,67.5,9.142392101268320,1.0,Medium Slow,1059860,0.0,45,0.0,1.0,22.5,22.5
